Latitude,Longitude,Name,Description,Icon,ep_Circle,PolygonFillType,,,,,,,,,,,
41.77063,-70.50956,TPP CANAL SANDWICH MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.66499,-70.52162,CGAS CAPE COD,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.53054,-70.52164,"TPP RUMFORD POWER, INC RUMFORD ME",MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.65914,-70.52281,CGAS CAPE COD,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.64513,-70.53045,OTIS ANGB,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.66040,-70.53489,MASSACHUSETTS ARNG AASF1 CAPE COD,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.75245,-70.53829,SSPARS AN/FPS-132 UEWR CAPE COD AFS MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.75255,-70.53862,CAPE COD AFS,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.55339,-70.54206,TPP RUMFORD COGENERATION RUMFORD ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.70404,-70.54388,MASSACHUSETTS ARNG CAMP EDWARDS,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.94414,-70.57603,ISFSI PILGRIM,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.39342,-70.61387,MARTHA'S VINEYARD,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.39381,-70.70800,SANFORD SEACOAST REGIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.08011,-70.73425,PORTSMOUTH NAVAL SHIPYARD,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.70977,-70.77403,LOCKHEED MARTIN MARION MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.09759,-70.78380,TPP SCHILLER PORTSMOUTH NH,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.09974,-70.79109,TPP NEWINGTON NEWINGTON NH,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.10491,-70.80510,TPP ESSENTIAL POWER NEWINGTON LLC NEWINGTON NH,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.09493,-70.81357,POL STORAGE PEASE ANGB,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.08909,-70.81873,PEASE ANGB,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.08629,-70.82294,"157TH ARW (KC-135R, KC-46A)",MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.07794,-70.82328,PORTSMOUTH INTERNATIONAL AT PEASE,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.89841,-70.85011,NPP SEABROOK,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.89732,-70.85632,ISFSI NPP SEABROOK,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.58414,-70.91614,BEVERLY REGIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.63536,-70.92747,NEW BEDFORD CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.46481,-70.95121,LYNN CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.67657,-70.95784,NEW BEDFORD REGIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.45958,-70.96079,CABLE LANDING STATION LYNN MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.24212,-70.96523,TPP FORE RIVER GENERATING STATION NORTH WEYMOUTH MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.23484,-70.96733,TPP POTTER STATION 2 BRAINTREE MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.45283,-70.97338,GENERAL ELECTRIC LYNN MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.24248,-70.97455,GENERAL DYNAMICS MISSION SYSTEMS QUINCY MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.67301,-70.99893,TPP DARTMOUTH POWER ASSOCIATES LP DARTMOUTH MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.25107,-71.00368,QUINCY CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.36294,-71.00639,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.08656,-71.01397,4ESS SWITCH (BRTNMACO),MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.08267,-71.01841,BROCKTON CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.34082,-71.01951,PORT OF BOSTON,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.37356,-71.02524,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL CARGO AREA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.20139,-71.03028,ULTRA ELECTRONICS OCEAN SYSTEMS BRAINTREE MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.35272,-71.05337,FRB BOSTON MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.35418,-71.05470,FEMA REGION I OFFICE,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.36035,-71.05794,BOSTON CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.35868,-71.06382,MASSACHUSETTS STATE CAPITOL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.39111,-71.06505,TPP MYSTIC GENERATING STATION CHARLESTOWN MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.36276,-71.06729,MASSACHUSETTS GENERAL HOSPITAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.54470,-71.07266,MASSACHUSETTS ARNG CAMP CURTIS GUIL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.36661,-71.07730,DEFENSE INNOVATION UNIT - BOSTON,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.36298,-71.07941,TPP KENDALL SQUARE STATION CAMBRIDGE MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.36719,-71.08337,4ESS SWITCH (CMBRMA01),MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.33981,-71.08917,NORTHEASTERN UNIVERSITY,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.36449,-71.09031,CHARLES STARK DRAPER LABORATORY CAMBRIDGE MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.36021,-71.09391,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.35050,-71.10540,BOSTON UNIVERSITY,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.36711,-71.10571,CAMBRIDGE CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.86530,-71.10610,TPP CLEARY FLOOD TAUNTON MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.33557,-71.10629,BRIGHAM AND WOMEN'S HOSPITAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.33685,-71.10815,TPP MEDICAL AREA TOTAL ENERGY PLANT BOSTON MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.37700,-71.11666,HARVARD UNIVERSITY,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.40854,-71.11827,TUFTS UNIVERSITY,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.27781,-71.12222,NEW HAMPSHIRE ARNG CENTER STRAFFORD TS,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.71704,-71.12353,LAWRENCE MUNICIPAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.83140,-71.12429,TPP DIGHTON POWER PLANT DIGHTON MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.95074,-71.13219,GENERAL DYNAMICS MISSION SYSTEMS TAUNTON MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.23444,-71.13485,CSXT READVILLE YARD MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.55612,-71.13503,TERRADYNE NORTH READING MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.52221,-71.13930,RAYTHEON WOBURN MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.39093,-71.14707,RAYTHEON CAMBRIDGE MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.53844,-71.15424,TEXTRON SYSTEMS WILMINGTON MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.23203,-71.16752,GENERAL DYNAMICS MISSION SYSTEMS DEDHAM MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.33555,-71.16849,BOSTON COLLEGE,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.64220,-71.17060,TPP TIVERTON POWER PLANT TIVERTON RI,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.57536,-71.17592,BERLIN REGIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.63848,-71.18666,RAYTHEON ANDOVER MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.48213,-71.20999,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS BURLINGTON MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.63971,-71.23457,LEIDOS TEWKSBURY MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.50508,-71.23711,NATIONAL SECURITY ENGINEERING CENTER,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.63881,-71.24446,RAYTHEON TEWKSBURY MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.36574,-71.25857,BRANDEIS UNIVERSITY,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.44307,-71.26100,BAE SYSTEMS ELECTRONIC SYSTEMS LEXINGTON MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.13659,-71.26691,ROLLS-ROYCE MARINE NORTH AMERICA WALPOLE MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.45982,-71.26706,LINCOLN LABORATORY,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.45660,-71.27207,MASSACHUSETTS NG JFHQ HANSCOM AFB MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.45819,-71.27717,HANSCOM AFB,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.57464,-71.28024,RAYTHEON PORTSMOUTH RI,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.40562,-71.28278,RAYTHEON WALTHAM MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.46994,-71.28900,LAURENCE G HANSCOM FIELD,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.47743,-71.29637,RAYTHEON BEDFORD MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.56407,-71.30296,FLIR SYSTEMS NORTH BILLERICA MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.64624,-71.31421,LOWELL CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.52338,-71.31880,NAVSTA NEWPORT,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.59299,-71.32760,FLIR UNMANNED GROUND SYSTEMS CHELMSFORD MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.47534,-71.33994,FORT ADAMS,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.78402,-71.35747,NG COMPRESSOR STATION TENN 270 CONCORD NH,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.28951,-71.36335,NATICK SOLDIER SYSTEMS CENTER,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.30987,-71.38567,AMERESCO SELECT FRAMINGHAM MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.82677,-71.40255,BROWN UNIVERSITY,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.81573,-71.40443,TPP MANCHESTER STREET PROVIDENCE RI,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.59714,-71.41214,QUONSET STATE,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.29732,-71.41266,MASSACHUSETTS STATE EOC,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.82413,-71.41291,PROVIDENCE CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.83102,-71.41492,RHODE ISLAND STATE CAPITOL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.59882,-71.41747,143RD AW (C-130J),MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.57304,-71.41784,LACONIA MUNICIPAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.59693,-71.41850,QUONSET POINT ANGB,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.93295,-71.41991,L3HARRIS LONDONBERRY NH,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.59806,-71.42133,POL STORAGE QUONSET ANGB,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.90435,-71.42503,TPP GRANITE RIDGE LONDONDERRY NH,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.72233,-71.42772,THEODORE FRANCIS GREEN STATE,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.70491,-71.43158,BAE SYSTEMS ELECTRONIC SYSTEMS HUDSON NH,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.27392,-71.43206,4ESS SWITCH (FRMNMAWA),MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.93281,-71.43575,MANCHESTER,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.70238,-71.44639,BAE SYSTEMS ELECTRONIC SYSTEMS (HQ) NASHUA NH,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.14003,-71.44644,TPP EXELON MEDWAY LLC MEDWAY MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.41108,-71.44802,FEMA REGION I FRC,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.11058,-71.45347,TPP ANP BELLINGHAM ENERGY PROJECT BELLINGHAM MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.99232,-71.46223,4ESS SWITCH (MNCHNHCO),MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.52471,-71.46253,AT&T LITTLETON MA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
42.99079,-71.46343,MANCHESTER CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.74932,-71.46820,RHODE ISLAND STATE EOC,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
41.74931,-71.46843,RHODE ISLAND NG JFHQ CRANSTON RI,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.14159,-71.46870,TPP MERRIMACK BOW NH,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
43.20727,-71.47936,NEW HAMPSHIRE STATE EOC,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
